x,y,shotMade,shotType,shotDistance,description,period,videoUrl,gameDate,playerName,minutesRemaining,secondsRemaining,scoreHome,scoreAway,opponent,assistPlayerName,blockPlayerName,shotValue,distanceFt,playType,clock,clockMinutes,scoreHomePreShot,scoreAwayPreShot,isHomeTeam,shotTeam,homeTeam,awayTeam,seasonType,playoffRound,gameState
5,260,1,Jump Shot,26,Brunson 26' 3PT Jump Shot (3 PTS) (Towns 1 AST),1,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/7/3914205f-86f4-208a-5487-fe6d1f877e02_1280x720.mp4,2026-06-03,Jalen Brunson,11,45,0,3,,Karl-Anthony Towns,,2,26,Jump Shot,11:45,11.75,,,,,,,,,
66,35,0,Driving Layup Shot,7,MISS Brunson 7' Driving Layup,1,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/10/5d70e116-88a9-f729-a7d2-6eaa04fb9988_1280x720.mp4,2026-06-03,Jalen Brunson,10,57,2,3,,,,2,7,Driving Layup Shot,10:57,10.95,,,,,,,,,
144,202,0,Pullup Jump shot,25,MISS Brunson 25' 3PT Pullup Jump Shot,1,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/45/1983e9a4-e6a4-a80b-cead-01eecccdf6cf_1280x720.mp4,2026-06-03,Jalen Brunson,7,52,7,10,,,Julian Champagnie,2,25,Pullup Jump shot,7:52,7.866666666666667,,,,,,,,,
103,132,0,Pullup Jump shot,17,MISS Brunson 17' Pullup Jump Shot,1,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/95/d5cd069b-1e92-ec9d-6f42-33e2c5c29aff_1280x720.mp4,2026-06-03,Jalen Brunson,4,44,11,14,,,,2,17,Pullup Jump shot,4:44,4.733333333333333,,,,,,,,,
113,245,0,Jump Shot,27,MISS Brunson 27' 3PT Jump Shot,1,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/121/ef60adbc-6d01-c278-31ec-515416aa860d_1280x720.mp4,2026-06-03,Jalen Brunson,3,36,16,14,,,,2,27,Jump Shot,3:36,3.6,,,,,,,,,
6,21,0,Driving Layup Shot,2,MISS Brunson 2' Driving Layup,1,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/129/413b0f15-a088-b2e2-90ca-ea03bb38d5eb_1280x720.mp4,2026-06-03,Jalen Brunson,2,47,22,17,,,,2,2,Driving Layup Shot,2:47,2.783333333333333,,,,,,,,,
113,56,0,Step Back Jump shot,13,MISS Brunson 13' Step Back Jump Shot,1,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/140/f8c8566e-4625-6ff8-1832-2873bf99fbdd_1280x720.mp4,2026-06-03,Jalen Brunson,2,19,22,17,,,,2,13,Step Back Jump shot,2:19,2.3166666666666664,,,,,,,,,
-28,10,0,Running Finger Roll Layup Shot,3,MISS Brunson 3' Running Finger Roll Layup,2,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/273/090689e0-5e57-51c5-570a-c4fadb5fea7a_1280x720.mp4,2026-06-03,Jalen Brunson,6,33,32,30,,,,2,3,Running Finger Roll Layup Shot,6:33,6.55,,,,,,,,,
-16,11,1,Driving Floating Jump Shot,2,Brunson 2' Driving Floating Jump Shot (5 PTS),2,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/279/5f5fda60-1f81-a243-f44f-14afcba64d58_1280x720.mp4,2026-06-03,Jalen Brunson,6,3,34,32,,,,2,2,Driving Floating Jump Shot,6:03,6.05,,,,,,,,,
21,79,0,Driving Floating Jump Shot,8,MISS Brunson 8' Driving Floating Jump Shot,2,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/283/7066c653-cf95-93d8-fd98-20a29c8ba04b_1280x720.mp4,2026-06-03,Jalen Brunson,5,37,37,32,,,,2,8,Driving Floating Jump Shot,5:37,5.616666666666667,,,,,,,,,
50,31,1,Finger Roll Layup Shot,6,Brunson 6' Finger Roll Layup (9 PTS),2,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/289/c9cd1126-4467-d5f1-ac25-ca503b7804e0_1280x720.mp4,2026-06-03,Jalen Brunson,5,1,37,36,,,,2,6,Finger Roll Layup Shot,5:01,5.016666666666667,,,,,,,,,
-34,36,1,Driving Floating Jump Shot,5,Brunson 5' Driving Floating Jump Shot (11 PTS),2,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/292/033acdad-f3cc-d425-773a-072baee20caf_1280x720.mp4,2026-06-03,Jalen Brunson,4,20,37,38,,,,2,5,Driving Floating Jump Shot,4:20,4.333333333333333,,,,,,,,,
152,222,0,Pullup Jump shot,27,MISS Brunson 27' 3PT Pullup Jump Shot,2,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/308/5b86d60d-8cb9-7bd9-0a25-8a719d028f25_1280x720.mp4,2026-06-03,Jalen Brunson,3,1,42,40,,,,2,27,Pullup Jump shot,3:01,3.0166666666666666,,,,,,,,,
-224,134,0,Step Back Jump shot,26,MISS Brunson 26' 3PT Step Back Jump Shot,2,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/342/3d6c79b5-1815-1ac1-3984-6ae65000e015_1280x720.mp4,2026-06-03,Jalen Brunson,0,58.5,50,46,,,,2,26,Step Back Jump shot,0:58,0.975,,,,,,,,,
48,170,0,Step Back Jump shot,18,MISS Brunson 18' Step Back Jump Shot,3,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/386/22526ac4-c054-caa5-1522-1319abd8585a_1280x720.mp4,2026-06-03,Jalen Brunson,9,46,57,48,,,,2,18,Step Back Jump shot,9:46,9.766666666666667,,,,,,,,,
-235,70,0,Pullup Jump shot,25,MISS Brunson 25' 3PT Pullup Jump Shot,3,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/411/1485d5f7-3fb8-c169-7326-f8fe652a0226_1280x720.mp4,2026-06-03,Jalen Brunson,7,53,63,50,,,,2,25,Pullup Jump shot,7:53,7.883333333333333,,,,,,,,,
228,28,0,Jump Shot,,MISS Brunson 3PT Jump Shot,3,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/421/14161f5e-c49c-98b4-d12b-dbbe6b795246_1280x720.mp4,2026-06-03,Jalen Brunson,7,15,63,50,,,,2,22.97128642457797,Jump Shot,7:15,7.25,,,,,,,,,
25,36,1,Running Layup Shot,4,Brunson 4' Running Layup (13 PTS) (Hart 5 AST),3,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/461/3b133e9a-e945-8be2-b408-8103c20b8391_1280x720.mp4,2026-06-03,Jalen Brunson,4,58,67,61,,Josh Hart,,2,4,Running Layup Shot,4:58,4.966666666666667,,,,,,,,,
-168,204,0,Pullup Jump shot,26,MISS Brunson 26' 3PT Pullup Jump Shot,3,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/473/71531d26-668e-f99a-26dc-096cdd5be5b3_1280x720.mp4,2026-06-03,Jalen Brunson,4,22,69,61,,,,2,26,Pullup Jump shot,4:22,4.366666666666666,,,,,,,,,
96,107,1,Pullup Jump shot,14,Brunson 14' Pullup Jump Shot (15 PTS),3,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/498/e09335b6-5c4d-5048-8747-fbc129e1ae46_1280x720.mp4,2026-06-03,Jalen Brunson,2,1,71,71,,,,2,14,Pullup Jump shot,2:01,2.0166666666666666,,,,,,,,,
26,144,0,Turnaround Fadeaway shot,15,MISS Brunson 15' Turnaround Fadeaway Shot,3,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/517/4d391baa-d3d6-61f7-251f-56b7bd6351d7_1280x720.mp4,2026-06-03,Jalen Brunson,1,15,73,73,,,,2,15,Turnaround Fadeaway shot,1:15,1.25,,,,,,,,,
-29,13,1,Driving Finger Roll Layup Shot,3,Brunson 3' Driving Finger Roll Layup (19 PTS),4,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/599/491e790f-6f23-5bdc-e0b0-25f66196a831_1280x720.mp4,2026-06-03,Jalen Brunson,7,22,86,88,,,,2,3,Driving Finger Roll Layup Shot,7:22,7.366666666666666,,,,,,,,,
-37,7,1,Running Layup Shot,4,Brunson 4' Running Layup (23 PTS),4,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/614/0cc3ea61-5167-371c-ce31-4a2f8e6b4dcd_1280x720.mp4,2026-06-03,Jalen Brunson,6,34,86,92,,,,2,4,Running Layup Shot,6:34,6.566666666666666,,,,,,,,,
-39,23,1,Driving Finger Roll Layup Shot,5,Brunson 5' Driving Finger Roll Layup (25 PTS),4,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/624/ef140f76-cb5c-d754-9d44-3c9b9ad50f7b_1280x720.mp4,2026-06-03,Jalen Brunson,6,7,86,94,,,,2,5,Driving Finger Roll Layup Shot,6:07,6.116666666666666,,,,,,,,,
-83,97,0,Pullup Jump shot,13,MISS Brunson 13' Pullup Jump Shot,4,https://videos.nba.com/nba/pbp/media/2026/06/03/0042500401/631/17ca70fc-9dbb-43c6-35db-8ed8bdf5f7ae_1280x720.mp4,2026-06-03,Jalen Brunson,5,27,86,94,,,,2,13,Pullup Jump shot,5:27,5.45,,,,,,,,,
