gamePk,gameDate,season,seasonType,atBatNumber,inning,halfInning,batterId,batterName,pitcherId,pitcherName,pitchHand,pitchNumber,playId,balls,strikes,outs,launchSpeed,launchAngle,totalDistance,trajectory,hitCoordX,hitCoordY,onFirstId,onSecondId,onThirdId,event,rbi,awayScore,homeScore,isOut,away,home
823974,2026-03-26,2026,Regular Season,5,1,bottom,660271,Shohei Ohtani,668678,Zac Gallen,R,5,edb0bd25-64e3-39a6-86e8-d9bf09579538,2,2,0,111.1,13.0,231.0,line_drive,186.68,99.14,,,,Single,0,0,0,false,Arizona Diamondbacks,Los Angeles Dodgers
823974,2026-03-26,2026,Regular Season,21,3,bottom,660271,Shohei Ohtani,668678,Zac Gallen,R,3,cf814808-eb2e-3446-91dd-664b107bd237,1,1,1,100.1,25.0,356.0,fly_ball,65.84,68.44,,,,Flyout,0,0,0,true,Arizona Diamondbacks,Los Angeles Dodgers
823974,2026-03-26,2026,Regular Season,66,8,bottom,660271,Shohei Ohtani,694851,Andrew Hoffmann,R,5,e508996a-2c85-3615-908d-226346251bdc,3,1,1,103.8,52.0,286.0,fly_ball,126.99,92.07,681624,,,Flyout,0,2,8,true,Arizona Diamondbacks,Los Angeles Dodgers
823971,2026-03-27,2026,Regular Season,40,5,bottom,660271,Shohei Ohtani,669194,Ryne Nelson,R,5,c193accd-3528-36be-871d-1a7efc92aa6b,2,2,1,82.0,-7.0,21.0,ground_ball,151.62,147.19,,,,Groundout,0,4,4,true,Arizona Diamondbacks,Los Angeles Dodgers
823971,2026-03-27,2026,Regular Season,61,8,bottom,660271,Shohei Ohtani,656464,Kevin Ginkel,R,5,e57a85cd-163f-390d-8594-66768473d181,2,2,0,87.3,-26.0,8.0,ground_ball,153.44,153.85,,690976,,Groundout,0,4,4,true,Arizona Diamondbacks,Los Angeles Dodgers
823973,2026-03-28,2026,Regular Season,39,5,bottom,660271,Shohei Ohtani,593958,Eduardo Rodriguez,L,5,0b8142c8-16e1-326c-85d4-0cd8f55b4670,2,2,1,91.2,-25.0,6.0,ground_ball,152.43,151.12,500743,,,Grounded Into DP,0,2,0,true,Arizona Diamondbacks,Los Angeles Dodgers
823973,2026-03-28,2026,Regular Season,58,8,bottom,660271,Shohei Ohtani,666661,Juan Morillo,R,7,835eea7a-49d3-3220-87ed-76c1e193abe1,3,2,0,104.3,-8.0,20.0,ground_ball,158.77,160.29,,,,Groundout,0,2,1,true,Arizona Diamondbacks,Los Angeles Dodgers
823972,2026-03-30,2026,Regular Season,5,1,bottom,660271,Shohei Ohtani,800048,Parker Messick,L,2,bd32cfdd-92c5-3f71-bd3e-eb126d567b46,1,0,0,67.3,37.0,205.0,fly_ball,75.86,124.51,,,,Single,0,0,0,false,Cleveland Guardians,Los Angeles Dodgers
823972,2026-03-30,2026,Regular Season,23,3,bottom,660271,Shohei Ohtani,800048,Parker Messick,L,7,838c9ab7-9d5a-3131-bf0e-ad14bf6c5fce,3,2,1,92.3,22.0,326.0,line_drive,100.59,75.74,687221,,,Lineout,0,1,0,true,Cleveland Guardians,Los Angeles Dodgers
823972,2026-03-30,2026,Regular Season,64,8,bottom,660271,Shohei Ohtani,681870,Erik Sabrowski,L,4,de544eff-43f6-3e85-9d0d-ddd260621a28,1,2,2,90.0,34.0,325.0,fly_ball,110.71,69.77,,,,Flyout,0,4,0,true,Cleveland Guardians,Los Angeles Dodgers
823969,2026-03-31,2026,Regular Season,4,1,bottom,660271,Shohei Ohtani,676440,Tanner Bibee,R,3,3a6cff73-46a3-38f4-b644-92f56acd6f2f,0,2,0,71.7,6.0,73.0,ground_ball,110.64,151.12,,,,Groundout,0,0,0,true,Cleveland Guardians,Los Angeles Dodgers
823969,2026-03-31,2026,Regular Season,54,7,bottom,660271,Shohei Ohtani,663465,Kolby Allard,L,1,6bd8c751-fd1a-307a-afb8-d3e1b029c37f,0,0,1,94.1,-4.0,28.0,ground_ball,162.06,139.84,,,,Single,0,0,2,false,Cleveland Guardians,Los Angeles Dodgers
823970,2026-04-01,2026,Regular Season,41,6,bottom,660271,Shohei Ohtani,668909,Gavin Williams,R,1,ad58f143-f05b-32d4-ad2c-8e0017806b8d,0,0,0,91.4,-13.0,13.0,ground_ball,154.3,162.91,690976,681624,,Grounded Into DP,0,2,0,true,Cleveland Guardians,Los Angeles Dodgers
822758,2026-04-03,2026,Regular Season,20,3,top,660271,Shohei Ohtani,571945,Miles Mikolas,R,2,1307d4f4-d92a-3c08-a31a-24769ce15d5f,1,0,1,109.5,27.0,401.0,fly_ball,201.15,54.97,681624,606192,,Home Run,3,3,3,false,Los Angeles Dodgers,Washington Nationals
822758,2026-04-03,2026,Regular Season,34,4,top,660271,Shohei Ohtani,571945,Miles Mikolas,R,6,185e2992-b70f-3864-b397-a79d4d368adc,3,2,2,104.4,10.0,150.0,ground_ball,157.1,91.18,,,,Single,0,7,4,false,Los Angeles Dodgers,Washington Nationals
822758,2026-04-03,2026,Regular Season,65,7,top,660271,Shohei Ohtani,686610,Ken Waldichuk,L,3,469d1e14-b100-3d64-aff7-14db0f94b439,0,2,1,97.7,26.0,340.0,fly_ball,38.89,92.25,,,,Flyout,0,11,4,true,Los Angeles Dodgers,Washington Nationals
822758,2026-04-03,2026,Regular Season,85,9,top,660271,Shohei Ohtani,701552,Andre Granillo,R,2,2fb4e55c-f98c-3552-9067-853e196af4fe,1,0,0,98.5,30.0,381.0,fly_ball,104.74,46.77,690976,681624,669743,Sac Fly,1,13,6,true,Los Angeles Dodgers,Washington Nationals
822757,2026-04-04,2026,Regular Season,1,1,top,660271,Shohei Ohtani,663623,Jake Irvin,R,4,e50f8480-e8f3-3a47-b595-85a2ece09ce9,0,2,0,101.2,37.0,360.0,fly_ball,69.76,64.93,,,,Flyout,0,0,0,true,Los Angeles Dodgers,Washington Nationals
822757,2026-04-04,2026,Regular Season,14,2,top,660271,Shohei Ohtani,663623,Jake Irvin,R,1,6ca34941-cc6f-3518-a4c0-cdd63b949505,0,0,1,95.1,11.0,160.0,line_drive,181.35,117.64,,690976,,Single,0,2,0,false,Los Angeles Dodgers,Washington Nationals
822757,2026-04-04,2026,Regular Season,45,5,top,660271,Shohei Ohtani,695418,Brad Lord,R,5,33ee4a19-8841-361c-946d-9ce947a267e6,2,2,2,105.3,-3.0,23.0,ground_ball,146.74,97.46,,,,Single,0,9,2,false,Los Angeles Dodgers,Washington Nationals
822757,2026-04-04,2026,Regular Season,79,9,top,660271,Shohei Ohtani,669371,Cole Henry,R,5,f683c4a3-d19b-300a-b020-ce993eb9c378,2,2,2,97.2,-19.0,9.0,ground_ball,151.81,159.79,,681624,,Groundout,0,10,4,true,Los Angeles Dodgers,Washington Nationals
822756,2026-04-05,2026,Regular Season,18,3,top,660271,Shohei Ohtani,656492,Foster Griffin,L,4,47773541-b802-3928-8472-ed62409fce89,2,1,1,114.6,26.0,438.0,fly_ball,147.38,22.64,,,,Home Run,1,1,0,false,Los Angeles Dodgers,Washington Nationals
822756,2026-04-05,2026,Regular Season,39,5,top,660271,Shohei Ohtani,656492,Foster Griffin,L,4,fb7b50ae-250e-31cd-85cb-e3bfe9b988a8,1,2,1,94.9,18.0,249.0,line_drive,195.87,127.31,,,,Double,0,1,6,false,Los Angeles Dodgers,Washington Nationals
822756,2026-04-05,2026,Regular Season,56,7,top,660271,Shohei Ohtani,676571,PJ Poulin,L,2,6c4db3c4-fd29-3233-8b63-0ce6dd11c03a,0,1,0,92.9,-22.0,6.0,ground_ball,163.97,166.88,,,,Groundout,0,3,6,true,Los Angeles Dodgers,Washington Nationals
822756,2026-04-05,2026,Regular Season,69,8,top,660271,Shohei Ohtani,690925,Clayton Beeter,R,1,eade5d38-0fd5-3302-977b-338490becd44,0,0,1,102.1,30.0,344.0,fly_ball,81.34,68.14,663656,,669289,Sac Fly,1,7,6,true,Los Angeles Dodgers,Washington Nationals
822832,2026-04-06,2026,Regular Season,1,1,top,660271,Shohei Ohtani,453286,Max Scherzer,R,3,6d98dfbd-e4d3-325e-bcbb-ce4240601b38,0,2,0,89.5,19.0,297.0,line_drive,146.4,82.21,,,,Lineout,0,0,0,true,Los Angeles Dodgers,Toronto Blue Jays
822832,2026-04-06,2026,Regular Season,20,3,top,660271,Shohei Ohtani,676596,Josh Fleming,L,5,2bcb6e2f-2622-3dc3-bf83-7f3508c69139,2,2,0,46.2,-56.0,1.0,ground_ball,122.55,194.1,,,,Single,0,2,1,false,Los Angeles Dodgers,Toronto Blue Jays
822832,2026-04-06,2026,Regular Season,32,4,top,660271,Shohei Ohtani,676596,Josh Fleming,L,2,b9d9e3e9-bc83-3bda-bacb-fd5819ed27cc,1,0,0,100.3,42.0,341.0,fly_ball,150.33,64.27,808975,687221,,Flyout,0,4,1,true,Los Angeles Dodgers,Toronto Blue Jays
822832,2026-04-06,2026,Regular Season,49,6,top,660271,Shohei Ohtani,573009,Joe Mantiply,L,4,18e45224-86b9-3bf3-a9d9-42e4704da93f,2,1,0,107.8,25.0,414.0,fly_ball,108.08,32.68,,,,Home Run,1,7,1,false,Los Angeles Dodgers,Toronto Blue Jays
822831,2026-04-07,2026,Regular Season,17,3,top,660271,Shohei Ohtani,592332,Kevin Gausman,R,2,bf815061-04a2-3186-84e9-684c3f7d0c9e,1,0,0,105.2,22.0,359.0,fly_ball,199.82,74.15,690976,,808975,Single,1,1,0,false,Los Angeles Dodgers,Toronto Blue Jays
